Aveiro|Arouca|Covelo de Paivó e Janarde|PPD/PSD.CDS-PP.PPM|50,93%|55|PS|23,15%|25|CH|10,19%|11|L|3,70%|4|PAN|2,78%|3|ADN|1,85%|2|B.E.|1,85%|2|IL|1,85%|2|PCP-PEV|1,85%|2|E|0,00%|0|MPT.A|0,00%|0|ND|0,00%|0|PCTP/MRPP|0,00%|0|R.I.R.|0,00%|0|VP|0,00%|0|EMBRANCO|1,85%|2|NULOS|0,00%|0
Aveiro|Arouca|Escariz|PPD/PSD.CDS-PP.PPM|42,64%|565|PS|22,34%|296|CH|19,32%|256|IL|4,15%|55|B.E.|2,57%|34|PAN|1,58%|21|L|1,28%|17|ADN|0,98%|13|PCP-PEV|0,53%|7|R.I.R.|0,53%|7|ND|0,38%|5|PCTP/MRPP|0,23%|3|E|0,15%|2|VP|0,08%|1|MPT.A|0,00%|0|EMBRANCO|1,74%|23|NULOS|1,51%|20
Aveiro|Arouca|Fermedo|PPD/PSD.CDS-PP.PPM|45,36%|352|PS|26,16%|203|CH|15,85%|123|IL|2,84%|22|ADN|2,32%|18|B.E.|1,55%|12|PCP-PEV|1,16%|9|PAN|1,03%|8|L|0,77%|6|PCTP/MRPP|0,39%|3|ND|0,26%|2|R.I.R.|0,26%|2|VP|0,26%|2|E|0,00%|0|MPT.A|0,00%|0|EMBRANCO|1,03%|8|NULOS|0,77%|6
Aveiro|Arouca|Mansores|PPD/PSD.CDS-PP.PPM|51,67%|372|PS|17,08%|123|CH|16,53%|119|IL|4,44%|32|ADN|2,50%|18|L|1,11%|8|ND|0,69%|5|PAN|0,69%|5|PCP-PEV|0,56%|4|PCTP/MRPP|0,56%|4|R.I.R.|0,56%|4|B.E.|0,42%|3|VP|0,28%|2|E|0,00%|0|MPT.A|0,00%|0|EMBRANCO|1,81%|13|NULOS|1,11%|8
Aveiro|Arouca|Moldes|PPD/PSD.CDS-PP.PPM|43,72%|317|PS|28,83%|209|CH|10,34%|75|IL|3,31%|24|B.E.|3,03%|22|ADN|2,21%|16|L|0,97%|7|PCP-PEV|0,83%|6|R.I.R.|0,83%|6|PAN|0,69%|5|PCTP/MRPP|0,41%|3|VP|0,41%|3|ND|0,28%|2|E|0,14%|1|MPT.A|0,00%|0|EMBRANCO|3,17%|23|NULOS|0,83%|6
Aveiro|Arouca|Rossas|PPD/PSD.CDS-PP.PPM|45,83%|445|PS|20,80%|202|CH|18,13%|176|IL|2,47%|24|ADN|2,06%|20|B.E.|1,85%|18|R.I.R.|1,75%|17|PCP-PEV|1,34%|13|PAN|1,13%|11|L|0,72%|7|PCTP/MRPP|0,31%|3|ND|0,21%|2|VP|0,21%|2|E|0,00%|0|MPT.A|0,00%|0|EMBRANCO|2,37%|23|NULOS|0,82%|8
Aveiro|Arouca|Santa Eulália|PPD/PSD.CDS-PP.PPM|41,13%|584|PS|27,32%|388|CH|16,20%|230|IL|3,17%|45|B.E.|2,46%|35|L|1,83%|26|ADN|1,48%|21|PAN|1,13%|16|PCP-PEV|1,13%|16|R.I.R.|0,70%|10|ND|0,63%|9|PCTP/MRPP|0,14%|2|VP|0,14%|2|E|0,07%|1|MPT.A|0,00%|0|EMBRANCO|1,76%|25|NULOS|0,70%|10
Aveiro|Arouca|São Miguel do Mato|PPD/PSD.CDS-PP.PPM|52,32%|203|PS|23,45%|91|CH|13,92%|54|IL|2,06%|8|ADN|1,80%|7|PAN|1,29%|5|PCP-PEV|1,03%|4|B.E.|0,77%|3|L|0,52%|2|ND|0,26%|1|PCTP/MRPP|0,26%|1|R.I.R.|0,26%|1|E|0,00%|0|MPT.A|0,00%|0|VP|0,00%|0|EMBRANCO|1,03%|4|NULOS|1,03%|4
Aveiro|Arouca|Tropeço|PPD/PSD.CDS-PP.PPM|41,68%|298|CH|23,08%|165|PS|20,70%|148|IL|2,94%|21|ADN|2,24%|16|B.E.|2,24%|16|L|1,96%|14|PAN|0,84%|6|R.I.R.|0,70%|5|E|0,42%|3|PCP-PEV|0,42%|3|ND|0,28%|2|PCTP/MRPP|0,28%|2|MPT.A|0,00%|0|VP|0,00%|0|EMBRANCO|1,26%|9|NULOS|0,98%|7
Aveiro|Arouca|Urrô|PPD/PSD.CDS-PP.PPM|52,31%|329|PS|20,51%|129|CH|13,04%|82|B.E.|3,50%|22|IL|2,38%|15|ADN|2,23%|14|L|1,91%|12|PAN|1,11%|7|PCP-PEV|0,64%|4|MPT.A|0,16%|1|R.I.R.|0,16%|1|E|0,00%|0|ND|0,00%|0|PCTP/MRPP|0,00%|0|VP|0,00%|0|EMBRANCO|1,11%|7|NULOS|0,95%|6
