,Distrito/R.A.,Município,Freguesia,Inscritos,PS,PPD/PSD.CDS-PP.PPM,CH,IL,B.E.,PCP-PEV,L,PAN,ADN,PPD/PSD.CDS-PP,R.I.R.,JPP,PCTP/MRPP,ND,VP,E,MPT.A,PTP,NC,PPM,Brancos,Nulos,Votos,VP%,L%
787,Bragança,Vinhais,Vale das Fontes,362,62,80,25,0,1,1,1,1,3,,0,,,0,,0,0,,,,1,1,176,,0.5681818181818182
788,Bragança,Vinhais,Vila Boa de Ousilhão,164,20,28,13,0,3,0,1,1,3,,0,,,1,,1,0,,,,0,4,75,,1.3333333333333333
789,Bragança,Vinhais,Vila Verde,198,29,32,12,5,0,0,0,0,2,,0,,,1,,0,0,,,,1,3,85,,0.0
790,Bragança,Vinhais,Vilar de Lomba e São Jomil,276,40,58,16,3,0,0,0,2,8,,1,,,1,,0,0,,,,1,2,132,,0.0
791,Bragança,Vinhais,Vilar de Ossos,242,46,52,15,4,3,0,3,1,4,,0,,,0,,0,0,,,,1,3,132,,2.272727272727273
792,Bragança,Vinhais,Vilar de Peregrinos,177,31,39,8,1,0,0,0,0,4,,0,,,1,,0,0,,,,1,0,85,,0.0
793,Bragança,Vinhais,Vilar Seco de Lomba,241,50,47,9,2,0,1,2,0,1,,1,,,0,,1,0,,,,0,0,114,,1.7543859649122806
794,Bragança,Vinhais,Vinhais,2141,470,443,186,15,30,7,14,7,38,,2,,,3,,2,1,,,,5,20,1243,,1.1263073209975865
795,Castelo Branco,Belmonte,Belmonte e Colmeal da Torre,3226,808,433,413,32,74,70,24,28,28,,7,,5,6,1,1,,,,,25,38,1993,0.050175614651279475,1.2042147516307076
796,Castelo Branco,Belmonte,Caria,1730,342,253,213,15,39,25,20,22,19,,2,,5,4,3,0,,,,,16,18,996,0.30120481927710846,2.0080321285140563
797,Castelo Branco,Belmonte,Inguias,599,143,69,56,7,15,12,3,5,8,,1,,2,0,2,0,,,,,9,6,338,0.591715976331361,0.8875739644970414
798,Castelo Branco,Belmonte,Maçainhas,289,87,45,9,2,8,5,1,3,4,,0,,1,1,0,0,,,,,6,4,176,0.0,0.5681818181818182
799,Castelo Branco,Castelo Branco,Alcains,4313,834,634,674,98,116,45,68,47,34,,6,,7,10,2,3,,,,,46,41,2665,0.075046904315197,2.551594746716698
800,Castelo Branco,Castelo Branco,Almaceda,506,115,77,34,7,9,5,1,2,4,,1,,2,1,0,1,,,,,1,2,262,0.0,0.3816793893129771
801,Castelo Branco,Castelo Branco,Benquerenças,605,138,96,102,17,23,5,12,4,9,,2,,2,0,0,0,,,,,12,7,429,0.0,2.797202797202797
802,Castelo Branco,Castelo Branco,Castelo Branco,31215,5702,6436,5400,860,972,403,556,339,245,,61,,51,31,30,17,,,,,282,216,21601,0.13888245914540995,2.573954909494931
803,Castelo Branco,Castelo Branco,Cebolais de Cima e Retaxo,1591,483,171,233,29,51,44,15,25,6,,1,,7,3,1,0,,,,,10,16,1095,0.091324200913242,1.36986301369863
804,Castelo Branco,Castelo Branco,Escalos de Baixo e Mata,1013,223,134,163,13,24,6,17,9,12,,3,,3,3,3,1,,,,,13,7,634,0.47318611987381703,2.6813880126182967
805,Castelo Branco,Castelo Branco,Escalos de Cima e Lousa,1255,327,160,191,19,35,10,10,13,12,,2,,3,5,1,1,,,,,6,12,807,0.12391573729863693,1.2391573729863692
806,Castelo Branco,Castelo Branco,Freixial e Juncal do Campo,642,175,92,87,7,16,7,11,9,6,,5,,4,2,0,0,,,,,6,16,443,0.0,2.4830699774266365
807,Castelo Branco,Castelo Branco,Lardosa,797,180,118,114,11,15,14,16,7,8,,0,,10,1,0,0,,,,,3,13,510,0.0,3.1372549019607843
808,Castelo Branco,Castelo Branco,Louriçal do Campo,445,118,83,51,3,5,4,2,5,3,,1,,0,6,1,0,,,,,5,3,290,0.3448275862068966,0.6896551724137931
809,Castelo Branco,Castelo Branco,Malpica do Tejo,344,105,20,45,0,7,24,1,1,0,,0,,3,1,1,0,,,,,0,4,212,0.4716981132075472,0.4716981132075472
810,Castelo Branco,Castelo Branco,Monforte da Beira,280,83,33,33,7,2,0,1,0,4,,1,,1,2,0,0,,,,,3,3,173,0.0,0.5780346820809249
811,Castelo Branco,Castelo Branco,Ninho do Açor e Sobral do Campo,641,134,112,114,10,12,3,10,6,6,,1,,1,3,2,0,,,,,2,4,420,0.47619047619047616,2.380952380952381
812,Castelo Branco,Castelo Branco,Póvoa de Rio de Moinhos e Cafede,838,166,117,139,25,18,8,21,8,6,,1,,1,2,2,0,,,,,14,14,542,0.36900369003690037,3.874538745387454
813,Castelo Branco,Castelo Branco,Salgueiro do Campo,618,176,90,85,4,19,4,6,2,7,,3,,0,1,0,0,,,,,8,6,411,0.0,1.4598540145985401
814,Castelo Branco,Castelo Branco,Santo André das Tojeiras,585,103,117,60,4,5,3,2,6,10,,0,,4,2,0,0,,,,,3,3,322,0.0,0.6211180124223602
815,Castelo Branco,Castelo Branco,São Vicente da Beira,966,180,205,114,7,20,7,8,3,20,,0,,2,4,0,0,,,,,5,8,583,0.0,1.3722126929674099
816,Castelo Branco,Castelo Branco,Sarzedas,933,191,214,109,5,8,4,10,4,10,,1,,2,1,0,0,,,,,5,10,574,0.0,1.7421602787456445
817,Castelo Branco,Castelo Branco,Tinalhas,494,83,93,77,10,11,4,8,10,6,,3,,0,0,1,0,,,,,3,3,312,0.32051282051282054,2.5641025641025643
818,Castelo Branco,Covilhã,Aldeia de São Francisco de Assis,449,150,43,59,4,6,14,1,4,3,,1,,3,0,0,0,,,,,1,3,292,0.0,0.3424657534246575
819,Castelo Branco,Covilhã,Barco e Coutada,835,186,106,80,8,47,4,7,5,6,,5,,1,0,0,0,,,,,6,8,469,0.0,1.492537313432836
820,Castelo Branco,Covilhã,Boidobra,2737,778,484,297,73,100,89,55,29,21,,5,,12,3,1,1,,,,,38,23,2009,0.049776007964161276,2.73768043802887
821,Castelo Branco,Covilhã,Cantar-Galo e Vila do Carvalho,3125,1085,265,229,35,125,90,46,19,20,,7,,13,2,3,0,,,,,22,24,1985,0.15113350125944586,2.3173803526448364
822,Castelo Branco,Covilhã,Casegas e Ourondo,730,162,79,39,4,6,17,6,0,13,,2,,2,1,1,0,,,,,6,8,346,0.28901734104046245,1.7341040462427746
823,Castelo Branco,Covilhã,Cortes do Meio,699,211,87,60,10,25,17,7,3,5,,1,,2,3,2,0,,,,,8,11,452,0.4424778761061947,1.5486725663716814
824,Castelo Branco,Covilhã,Covilhã e Canhoso,16404,4619,3033,1300,360,670,346,309,153,71,,20,,46,24,11,10,,,,,161,110,11243,0.09783865516321266,2.74837676776661
825,Castelo Branco,Covilhã,Dominguizo,917,222,175,114,17,22,15,12,8,4,,3,,2,1,0,3,,,,,4,13,615,0.0,1.951219512195122
