,Distrito/R.A.,Município,Freguesia,Inscritos,PS,PPD/PSD.CDS-PP.PPM,CH,IL,B.E.,PCP-PEV,L,PAN,ADN,PPD/PSD.CDS-PP,R.I.R.,JPP,PCTP/MRPP,ND,VP,E,MPT.A,PTP,NC,PPM,Brancos,Nulos,Votos,VP%,L%
1719,Portalegre,Elvas,Santa Eulália,893,211,71,216,4,16,15,0,5,3,,0,,2,1,0,0,0,,,,3,6,553,0.0,0.0
1720,Portalegre,Elvas,São Brás e São Lourenço,1460,285,214,383,20,17,21,11,7,7,,7,,2,1,0,0,1,,,,7,10,993,0.0,1.107754279959718
1721,Portalegre,Elvas,São Vicente e Ventosa,632,131,46,209,7,4,14,2,0,2,,0,,3,1,1,0,0,,,,3,3,426,0.2347417840375587,0.4694835680751174
1722,Portalegre,Elvas,Terrugem e Vila Boim,1909,456,231,438,24,57,45,21,14,15,,4,,11,3,3,2,1,,,,25,9,1359,0.22075055187637968,1.5452538631346577
1723,Portalegre,Fronteira,Cabeço de Vide,837,166,123,128,12,13,41,4,6,7,,3,,4,1,0,0,0,,,,9,9,526,0.0,0.7604562737642585
1724,Portalegre,Fronteira,Fronteira,1591,368,372,263,11,35,23,13,10,13,,2,,4,5,1,1,1,,,,12,10,1144,0.08741258741258741,1.1363636363636365
1725,Portalegre,Fronteira,São Saturnino,206,59,50,23,0,2,16,2,1,4,,0,,0,1,0,0,0,,,,5,0,163,0.0,1.2269938650306749
1726,Portalegre,Gavião,Belver,523,218,49,41,2,10,28,3,2,3,,0,,2,1,0,0,1,,,,5,1,366,0.0,0.819672131147541
1727,Portalegre,Gavião,Comenda,613,172,45,81,10,9,44,4,6,2,,1,,3,0,0,0,0,,,,2,6,385,0.0,1.0389610389610389
1728,Portalegre,Gavião,Gavião e Atalaia,1382,434,193,210,17,34,31,14,11,5,,3,,5,5,0,0,2,,,,14,10,988,0.0,1.417004048582996
1729,Portalegre,Gavião,Margem,618,170,49,73,3,18,21,2,3,4,,3,,4,0,1,2,0,,,,0,5,358,0.27932960893854747,0.5586592178770949
1730,Portalegre,Marvão,Beirã,336,84,65,52,0,6,3,1,3,4,,1,,0,1,0,1,0,,,,4,4,229,0.0,0.4366812227074236
